"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-08-05 ~ 2026-08-05"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"79","충청북도 옥천군 옥천읍 금구리","302","0302","0000","옥천계룡리슈빌","59.9643","202607","31","22,500","103","9","개인","개인","2021","가화4길 65","-","직거래","-","26.07.31"
"80","충청북도 충주시 용산동","1678","1678","0000","용산주공2차","59.7100","202607","31","16,000","-","10","개인","개인","1999","남산로 125","-","중개거래","충북 충주시","-"
"81","충청북도 제천시 화산동","237-19","0237","0019","삼익상가","62.1000","202607","31","7,400","-","4","개인","개인","1994","의림대로2길 9","-","중개거래","충북 제천시","-"
"82","충청북도 청주시 흥덕구 오송읍 봉산리","798","0798","0000","오송역파라곤센트럴시티","59.8447","202607","31","40,000","-","13","개인","개인","2023","오송생명7로 151","-","중개거래","충북 청주시 흥덕구","-"
"83","충청북도 진천군 덕산읍 두촌리","3146","3146","0000","모아엘가더테라스","84.9134","202607","31","35,000","-","4","개인","개인","2018","대월로 127","-","중개거래","충북 진천군","-"
"84","충청북도 청주시 상당구 금천동","275","0275","0000","장자마을부영(275-7단지)","48.3895","202607","31","12,650","-","9","개인","개인","2001","중고개로 288","-","중개거래","충북 청주시 상당구, 충북 청주시 청원구","-"
"85","충청북도 청주시 상당구 방서동","806","0806","0000","우미린풀하우스","69.7134","202607","31","37,800","-","19","개인","개인","2020","동남로 15","-","중개거래","충북 증평군, 충북 청주시 상당구","-"
"86","충청북도 청주시 상당구 용담동","423","0423","0000","부영E그린","84.9916","202607","31","20,500","-","10","개인","개인","2003","호미로 317","-","직거래","-","-"
"87","충청북도 청주시 서원구 모충동","552","0552","0000","동일센타시아","65.0612","202607","31","19,700","-","12","개인","개인","2016","매봉로 190","-","중개거래","충북 청주시 서원구","-"
"88","충청북도 청주시 서원구 개신동","1-16","0001","0016","우정한가람","24.0340","202607","31","3,800","-","3","개인","개인","1997","예체로1번길 29","-","중개거래","충북 청주시 서원구","-"
"89","충청북도 청주시 상당구 용담동","425","0425","0000","가좌마을부영","59.9870","202607","31","17,500","-","6","개인","개인","2003","호미로 329","-","직거래","-","-"
"90","충청북도 청주시 흥덕구 복대동","3403","3403","0000","청주복대2차두진하트리움아파트","74.8923","202607","31","46,800","-","15","개인","개인","2018","대신로73번길 50","-","중개거래","충북 청주시 흥덕구","-"
"91","충청북도 청주시 흥덕구 복대동","3034","3034","0000","하복대삼일","84.8800","202607","31","21,500","-","8","개인","개인","1998","증안로 108","-","중개거래","충북 청주시 흥덕구","-"
"92","충청북도 청주시 상당구 금천동","476","0476","0000","금천우미린","76.0938","202607","31","26,200","-","2","개인","개인","2014","꽃산동로 25","-","중개거래","경기 광명시","-"
"93","충청북도 청주시 상당구 용암동","3150","3150","0000","청주동남우미린에듀포레","115.9580","202607","31","68,000","-","23","개인","개인","2021","중고개로142번길 20","-","중개거래","충북 청주시 상당구","-"
"94","충청북도 청주시 상당구 용암동","2953","2953","0000","용암서희스타힐스","59.9924","202607","31","26,200","-","16","개인","개인","2018","단재로196번길 9","-","중개거래","충북 청주시 상당구, 충북 청주시 서원구","-"
"95","충청북도 청주시 흥덕구 복대동","3029","3029","0000","현대2","60.0000","202607","31","21,900","-","10","개인","개인","2000","증안로 77","-","중개거래","충북 청주시 흥덕구","-"
"96","충청북도 청주시 서원구 개신동","613","0613","0000","휴먼시아","49.8300","202607","31","14,000","-","8","개인","개인","2001","경신로 67","-","직거래","-","-"
"97","충청북도 음성군 맹동면 동성리","445","0445","0000","충북혁신도시 LH쌍용예가","59.9300","202607","31","19,000","-","13","개인","개인","2014","사예로 20","-","중개거래","충북 음성군","-"
"98","충청북도 단양군 단양읍 별곡리","570-1","0570","0001","부강","59.4650","202607","31","12,500","-","4","개인","개인","1992","별곡7길 4","-","중개거래","충북 단양군","-"
"99","충청북도 충주시 호암동","1050","1050","0000","힐스테이트호암","59.9900","202607","30","35,800","-","18","개인","개인","2021","호암수청1로 29","-","중개거래","충북 충주시","-"
"100","충청북도 충주시 호암동","558-16","0558","0016","한양","43.5000","202607","30","6,000","-","3","개인","개인","1994","예성로 9","-","직거래","-","-"
"101","충청북도 충주시 대소원면 본리","642","0642","0000","충주지웰","59.2483","202607","30","12,500","-","1","개인","개인","2016","첨단산업2로 42","-","중개거래","충북 충주시","-"
"102","충청북도 충주시 대소원면 본리","649","0649","0000","중앙하이츠프리미어충주","84.9600","202607","30","28,000","-","5","개인","개인","2023","첨단산업4로 54","-","중개거래","충북 충주시","-"
