"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-01-01 ~ 2026-06-21"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"39","충청북도 청주시 흥덕구 송절동","851","0851","0000","청주테크노폴리스푸르지오","84.9950","202606","17","61,000","-","14","개인","개인","2018","송화로214번길 7","-","중개거래","충북 청주시 흥덕구","-"
"40","충청북도 제천시 청전동","985","0985","0000","두진백로","60.0000","202606","17","13,500","-","12","개인","개인","1995","칠성로 19","-","중개거래","충북 제천시","-"
"41","충청북도 제천시 왕암동","779","0779","0000","왕암코아루드림","60.4266","202606","17","17,000","-","5","개인","개인","2018","바이오밸리로 171","-","중개거래","충북 제천시","-"
"42","충청북도 제천시 청전동","639","0639","0000","비둘기","35.5200","202606","17","5,100","-","14","개인","개인","1991","청전대로 166","-","중개거래","충북 제천시","-"
"43","충청북도 충주시 칠금동","825","0825","0000","코오롱동신","75.6260","202606","17","20,500","-","14","개인","개인","1997","금릉로 14","-","중개거래","충북 충주시","-"
"44","충청북도 청주시 흥덕구 복대동","3381","3381","0000","두산위브지웰시티2차","80.0020","202606","17","86,000","-","10","개인","개인","2015","대농로 55","-","중개거래","충북 청주시 흥덕구","-"
"45","충청북도 청주시 청원구 율량동","1206","1206","0000","현대(1206)","84.3900","202606","17","21,000","-","11","개인","개인","1992","주성로132번길 54","-","중개거래","충북 청주시 청원구","-"
"46","충청북도 충주시 칠금동","821","0821","0000","부영(1차)","60.0000","202606","17","12,100","-","15","개인","개인","1996","금릉로 46","-","중개거래","충북 충주시","-"
"47","충청북도 충주시 연수동","930","0930","0000","세원","59.5200","202606","17","8,000","101","15","개인","개인","1991","번영대로 120","-","직거래","-","26.06.18"
"48","충청북도 청주시 흥덕구 강내면 월곡리","150-33","0150","0033","진흥1","49.8800","202606","17","7,400","-","2","개인","개인","1988","가로수로 640-19","-","중개거래","충북 청주시 흥덕구","-"
"49","충청북도 청주시 청원구 오창읍 양청리","810-2","0810","0002","오창롯데캐슬더하이스트","84.9749","202606","17","41,500","-","5","개인","개인","2018","중부로 760","-","중개거래","충북 청주시 청원구","-"
"50","충청북도 청주시 청원구 율량동","861","0861","0000","두진백로그린타운","32.7600","202606","17","6,100","-","9","개인","개인","1996","율봉로201번길 34","-","중개거래","충북 청주시 청원구","-"
"51","충청북도 청주시 청원구 오창읍 창리","161","0161","0000","오창모아미래도와이드파크","59.9853","202606","17","24,000","-","13","개인","개인","2016","2산단4로 45","-","중개거래","충북 청주시 청원구","-"
"52","충청북도 청주시 흥덕구 강서동","458","0458","0000","청주강서동광모닝스카이","14.9800","202606","17","5,200","-","20","개인","개인","2016","가로수로1164번길 41-33","-","중개거래","충북 청주시 흥덕구","-"
"53","충청북도 청주시 서원구 산남동","1094","1094","0000","부영사랑으로","59.9364","202606","17","21,600","-","6","개인","개인","2007","원흥로 14","-","중개거래","충북 청주시 서원구","-"
"54","충청북도 진천군 광혜원면 광혜원리","416-2","0416","0002","광혜원신양","59.1700","202606","17","7,600","-","1","개인","개인","1991","중리1길 6-2","-","중개거래","충북 진천군","-"
"55","충청북도 충주시 연수동","931","0931","0000","임광","115.6900","202606","17","19,200","-","11","개인","개인","1991","국원대로 166","-","중개거래","충북 충주시","-"
"56","충청북도 청주시 흥덕구 강서동","37-1","0037","0001","대림","58.6200","202606","17","10,500","-","9","개인","개인","1990","가로수로1154번길 22-2","-","중개거래","충북 청주시 흥덕구","-"
"57","충청북도 단양군 단양읍 상진리","50","0050","0000","두진임대아파트","35.6700","202606","17","6,700","-","14","개인","법인","1996","상진2로 17","-","중개거래","충북 단양군","-"
"58","충청북도 청주시 서원구 산남동","1094","1094","0000","부영사랑으로","59.9364","202606","16","20,000","-","6","개인","개인","2007","원흥로 14","-","중개거래","충북 청주시 서원구","-"
"59","충청북도 음성군 음성읍 읍내리","805","0805","0000","한성진주아파트","46.1400","202606","16","4,500","102","9","개인","법인","1994","설성로 22","-","직거래","-","26.06.16"
"60","충청북도 충주시 연수동","605","0605","0000","연수아이파크","145.2800","202606","16","40,000","-","2","개인","개인","2006","연수로1길 12","-","중개거래","충북 충주시","-"
"61","충청북도 청주시 흥덕구 강내면 월탄리","90","0090","0000","태암수정","34.7100","202606","16","5,500","101-나동","1","개인","개인","1997","태성탑연로 264","-","중개거래","충북 청주시 상당구","26.06.16"
"62","충청북도 청주시 서원구 산남동","678","0678","0000","대원칸타빌1차","84.9992","202606","16","28,500","-","9","개인","개인","2007","두꺼비로 63","-","중개거래","충북 청주시 서원구","-"
"63","충청북도 청주시 흥덕구 가경동","1761","1761","0000","가로수마을한라비발디","84.9650","202606","16","37,000","-","2","개인","개인","2008","서현서로 40","-","중개거래","충북 청주시 흥덕구","-"
"64","충청북도 청주시 청원구 내덕동","422","0422","0000","신라","84.9500","202606","16","13,000","-","4","개인","개인","1988","1순환로197번길 31","-","직거래","-","-"
"65","충청북도 청주시 흥덕구 강내면 월곡리","432","0432","0000","강내두진하트리움","65.7200","202606","16","20,300","-","2","개인","개인","2018","월곡길 23-13","-","중개거래","충북 청주시 흥덕구","-"
"66","충청북도 충주시 중앙탑면 용전리","656","0656","0000","미진이지비아","59.9903","202606","16","16,200","-","20","개인","개인","2017","기업도시로 189","-","중개거래","충북 충주시","-"
"67","충청북도 청주시 상당구 탑동","390","0390","0000","센트럴힐데스하임","84.8470","202606","16","43,650","-","29","개인","개인","2022","용담로 50","-","중개거래","충북 청주시 상당구","-"
"68","충청북도 청주시 청원구 내수읍 마산리","213","0213","0000","청주시온숲속의아침뷰","84.8708","202606","16","27,600","-","15","개인","개인","2024","청암로 16","-","중개거래","충북 청주시 청원구","-"
"69","충청북도 음성군 감곡면 오향리","568","0568","0000","덕일한마음","46.3200","202606","16","7,200","-","5","개인","개인","2003","음성로 2650-22","-","중개거래","충북 음성군","-"
"70","충청북도 음성군 대소읍 태생리","765","0765","0000","대소웰메이드타운","84.8895","202606","16","17,000","-","11","개인","법인","2018","대화1길 44-8","-","중개거래","충북 음성군","-"
"71","충청북도 청주시 청원구 오창읍 각리","637-1","0637","0001","한라비발디","129.8510","202606","16","39,700","-","18","개인","개인","2006","오창중앙로 94","-","중개거래","충북 청주시 청원구","-"
"72","충청북도 청주시 청원구 오창읍 각리","646-1","0646","0001","우림필유2차","59.9101","202606","16","21,600","-","9","개인","개인","2006","오창중앙로 65","-","중개거래","충북 청주시 청원구","-"
"73","충청북도 충주시 호암동","152","0152","0000","부강아파트","27.1800","202606","16","3,500","-","8","개인","개인","1995","호암중앙2로 31","-","중개거래","충북 충주시","-"
"74","충청북도 충주시 연수동","700","0700","0000","두진1차","47.3700","202606","16","5,500","102","15","개인","개인","1991","연수로 7","-","중개거래","충북 충주시","26.06.16"
"75","충청북도 청주시 상당구 금천동","270","0270","0000","장자마을현대(2단지)","84.8943","202606","16","22,500","-","2","개인","개인","2002","수영로 328","-","직거래","-","-"
"76","충청북도 제천시 하소동","82","0082","0000","주공","39.6900","202606","16","6,700","-","3","개인","개인","1989","용두대로15길 11","-","중개거래","충북 제천시","-"
"77","충청북도 청주시 상당구 탑동","344","0344","0000","탑클래스아파트","84.9000","202606","16","28,000","-","18","개인","개인","2014","산성로 55","-","중개거래","충북 청주시 상당구, 충북 청주시 흥덕구","-"
"78","충청북도 청주시 청원구 율량동","862","0862","0000","삼정1","70.7900","202606","16","13,500","-","3","개인","개인","1991","율봉로201번길 50","-","중개거래","충북 청주시 서원구, 충북 청주시 청원구","-"
"79","충청북도 충주시 대소원면 본리","642","0642","0000","충주지웰","59.0907","202606","16","13,000","-","11","개인","개인","2016","첨단산업2로 42","-","중개거래","충북 충주시","-"
"80","충청북도 증평군 증평읍 장동리","255","0255","0000","증평삼일","84.9500","202606","16","15,000","-","5","개인","개인","1992","장뜰로 110","-","중개거래","충북 증평군","-"
"81","충청북도 청주시 서원구 사직동","6-116","0006","0116","벨라맨션씨동","84.8275","202606","16","13,400","-","2","개인","개인","1983","사운로 36","-","중개거래","충북 청주시 서원구","-"
