"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-01-01 ~ 2026-06-21"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"61","경상남도 양산시 물금읍 가촌리","1304-1","1304","0001","양산대방노블랜드8차로얄카운티","102.9982","202606","17","60,000","-","12","개인","개인","2018","야리로 50","-","중개거래","경남 양산시","-"
"62","경상남도 양산시 물금읍 가촌리","1274-1","1274","0001","이지더원2차","84.8509","202606","17","39,500","-","4","개인","개인","2017","물금로 75","-","중개거래","경남 양산시","-"
"63","경상남도 양산시 중부동","162-2","0162","0002","진흥에이원","73.5500","202606","17","11,000","-","5","개인","개인","2008","일동6길 2","-","중개거래","경남 양산시","-"
"64","경상남도 양산시 신기동","508-3","0508","0003","신기주공","44.9400","202606","17","7,800","-","12","개인","개인","1993","신기서길 23","-","중개거래","경남 양산시","-"
"65","경상남도 김해시 진영읍 진영리","1610","1610","0000","진영자이","84.9948","202606","17","20,500","-","2","개인","개인","2007","김해대로361번길 31","-","중개거래","경남 김해시","-"
"66","경상남도 양산시 동면 석산리","699-3","0699","0003","해강","59.3700","202606","17","10,000","-","9","개인","개인","1992","석산5길 5","-","중개거래","경남 양산시","-"
"67","경상남도 거창군 거창읍 상림리","771","0771","0000","상동주공","51.7400","202606","17","12,800","-","10","개인","개인","2003","거열로7길 39","-","중개거래","경남 거창군","-"
"68","경상남도 거창군 거창읍 상림리","772","0772","0000","대경넥스빌","76.4600","202606","17","17,500","-","8","개인","개인","2003","거열로7길 29","-","중개거래","경남 거창군","-"
"69","경상남도 밀양시 내이동","136","0136","0000","밀양나노시티한신더휴","84.9714","202606","17","31,800","-","13","개인","개인","2020","창밀로 3530","-","중개거래","경남 밀양시","-"
"70","경상남도 양산시 동면 석산리","1448-2","1448","0002","e편한세상남양산","84.6940","202606","17","31,500","-","11","개인","개인","2013","금오16길 65","-","중개거래","경남 양산시","-"
"71","경상남도 김해시 신문동","1528","1528","0000","장유자이더파크","84.7313","202606","17","51,000","-","28","개인","개인","2024","장유로334번길 67","-","중개거래","경남 김해시","-"
"72","경상남도 김해시 신문동","527-2","0527","0002","장유2차쌍용예가","129.2394","202606","17","30,500","-","2","개인","개인","2008","장유로 362","-","중개거래","경남 김해시, 부산 연제구","-"
"73","경상남도 김해시 신문동","가-","0000","0000","더샵신문그리니티","84.9159","202606","17","45,170","-","3","개인","개인","2026","신문중앙로 110","-","중개거래","경남 김해시","-"
"74","경상남도 거창군 거창읍 중앙리","428-1","0428","0001","유승베스트빌","128.2160","202606","17","20,000","-","3","개인","개인","2002","죽전2길 57","-","중개거래","경남 거창군","-"
"75","경상남도 양산시 물금읍 범어리","2673-4","2673","0004","양산물금대방노블랜드1차","109.1609","202606","17","41,000","-","14","개인","개인","2014","신주1길 46","-","중개거래","경남 양산시","-"
"76","경상남도 양산시 물금읍 범어리","682-1","0682","0001","현대2","60.7500","202606","17","9,800","106","7","개인","개인","1996","오봉로 180","-","중개거래","경남 양산시","26.06.17"
"77","경상남도 김해시 삼계동","610","0610","0000","삼계이안","129.0568","202606","17","28,000","-","6","개인","개인","2007","해반천로278번길 12-27","-","중개거래","경남 김해시","-"
"78","경상남도 양산시 덕계동","718-45","0718","0045","진명웅상쇼핑","59.4000","202606","17","5,700","-","11","개인","개인","1997","덕계로 105","-","중개거래","경남 양산시","-"
"79","경상남도 김해시 구산동","1052-1","1052","0001","한일유앤아이","59.7790","202606","17","16,000","-","15","개인","개인","2004","구산로5번길 89","-","중개거래","경남 김해시","-"
"80","경상남도 남해군 고현면 이어리","327","0327","0000","풍산","76.2600","202606","17","5,200","-","4","개인","개인","1997","남해대로 3051-5","-","직거래","-","-"
"81","경상남도 김해시 무계동","156-5","0156","0005","석봉마을대동아파트","59.8800","202606","17","10,600","-","11","개인","개인","2000","금관대로599번길 11","-","중개거래","경남 김해시","-"
