"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-01-01 ~ 2026-06-21"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"70","부산광역시 북구 구포동","851","0851","0000","태평양그린","83.6300","202606","17","9,800","-","15","개인","개인","1994","모분재로149번길 53","-","중개거래","부산 북구","-"
"71","부산광역시 북구 덕천동","817","0817","0000","포레나부산덕천1차","74.7172","202606","17","58,000","-","16","개인","개인","2022","만덕대로 81","-","중개거래","부산 북구","-"
"72","부산광역시 북구 덕천동","132-65","0132","0065","롯데","84.7504","202606","17","18,500","-","4","개인","개인","2004","함박봉로 26","-","중개거래","부산 북구","-"
"73","부산광역시 중구 보수동3가","56","0056","0000","보수허브센티움","68.3525","202606","17","24,800","-","8","개인","개인","2016","흑교로45번길 28","-","중개거래","부산 중구","-"
"74","부산광역시 남구 용호동","176-30","0176","0030","엘지메트로시티1","84.9800","202606","17","51,400","-","9","개인","개인","2001","분포로 111","-","중개거래","부산 남구","-"
"75","부산광역시 남구 문현동","1244","1244","0000","문현경동리인아파트","74.6026","202606","17","38,500","-","15","개인","개인","2020","문현로 36-1","-","중개거래","부산 남구","-"
"76","부산광역시 동래구 수안동","10-1","0010","0001","수안","50.5800","202606","17","25,000","-","1","개인","개인","1976","명륜로45번길 31","-","중개거래","부산 동래구","-"
"77","부산광역시 해운대구 중동","1792","1792","0000","해운대양우내안애팰리스","84.9383","202606","17","35,700","-","9","개인","개인","2013","좌동순환로433번길 40","-","중개거래","부산 해운대구","-"
"78","부산광역시 북구 구포동","1293","1293","0000","유림노르웨이숲","59.8889","202606","17","14,500","-","13","개인","개인","2005","낙동북로 737","-","중개거래","부산 북구","-"
"79","부산광역시 남구 용호동","976","0976","0000","쌍용예가","59.9639","202606","17","27,100","-","12","개인","개인","2013","용호로216번가길 46","-","중개거래","부산 남구","-"
"80","부산광역시 남구 문현동","1255","1255","0000","오션파라곤아파트","59.9579","202606","17","31,800","-","5","개인","개인","2022","우암로 300","-","중개거래","부산 남구, 부산 수영구","-"
"81","부산광역시 남구 문현동","331-4","0331","0004","우성맨션","60.0000","202606","17","12,100","-","1","개인","개인","1979","동제당로 61","-","직거래","-","-"
"82","부산광역시 부산진구 부전동","450","0450","0000","네오스포","59.9010","202606","17","16,300","-","13","개인","개인","1999","신천대로 122","-","중개거래","부산 부산진구","-"
"83","부산광역시 동래구 명장동","623","0623","0000","e편한세상동래명장1단지","84.9000","202606","17","58,600","-","4","개인","개인","2019","명장로 65","-","중개거래","부산 동래구","-"
"84","부산광역시 서구 암남동","778","0778","0000","e편한세상송도더퍼스트비치","84.8040","202606","17","60,990","-","12","개인","법인","2024","충무대로21번길 9","-","직거래","-","-"
"85","부산광역시 서구 암남동","778","0778","0000","e편한세상송도더퍼스트비치","59.9840","202606","17","41,040","-","25","개인","법인","2024","충무대로21번길 9","-","직거래","-","-"
"86","부산광역시 동구 초량동","723","0723","0000","초량베스티움센트럴베이","73.2768","202606","17","50,900","-","4","개인","개인","2021","홍곡로 37","-","중개거래","부산 동구, 부산 해운대구","-"
"87","부산광역시 동래구 낙민동","288-44","0288","0044","낙민역삼정그린코아더시티","48.9034","202606","17","29,000","-","6","개인","개인","2024","충렬대로 264","-","직거래","-","-"
"88","부산광역시 부산진구 전포동","927","0927","0000","e편한세상시민공원1단지","84.9456","202606","17","73,500","-","6","개인","개인","2023","진남로 455","-","중개거래","부산 부산진구, 부산 연제구","-"
"89","부산광역시 북구 화명동","2264","2264","0000","롯데낙천대","84.7690","202606","17","59,000","-","22","개인","개인","2002","화명신도시로 156","-","중개거래","부산 북구","-"
"90","부산광역시 강서구 명지동","3230-11","3230","0011","퀸덤1차에디슨타운","101.4000","202606","17","36,300","-","3","개인","개인","2009","명지오션시티10로 17","-","중개거래","부산 강서구","-"
"91","부산광역시 강서구 명지동","3595-3","3595","0003","더샵명지퍼스트월드3단지","84.9970","202606","17","58,500","-","28","개인","개인","2020","명지국제2로 41","-","중개거래","부산 강서구","-"
"92","부산광역시 강서구 명지동","3328","3328","0000","명지협성휴포레","59.9858","202606","17","29,000","-","11","개인","개인","2016","명지국제5로 141","-","중개거래","부산 동구","-"
"93","부산광역시 연제구 연산동","2416","2416","0000","연산포레서희스타힐스","84.8526","202606","17","54,800","-","14","개인","개인","2024","묘봉산로 30","-","중개거래","경남 창원시 성산구, 부산 연제구","-"
"94","부산광역시 연제구 연산동","585-6","0585","0006","연산센터빌","84.8700","202606","17","29,200","-","19","개인","개인","1995","거제천로230번길 53","-","중개거래","부산 연제구","-"
"95","부산광역시 연제구 연산동","584-1","0584","0001","한성기린","58.7400","202606","17","21,000","-","14","개인","개인","1993","세병로 16","-","중개거래","부산 연제구","-"
"96","부산광역시 해운대구 좌동","1278","1278","0000","LH뜨란채아파트","59.9800","202606","17","31,000","-","10","개인","개인","1997","대천로67번길 18","-","중개거래","부산 해운대구","-"
"97","부산광역시 해운대구 좌동","1282","1282","0000","해운대 센트럴파크","59.9900","202606","17","32,800","-","21","개인","개인","1998","좌동순환로 118","-","중개거래","부산 해운대구","-"
"98","부산광역시 사상구 주례동","92-2","0092","0002","태원","54.1500","202606","17","7,500","-","6","개인","개인","1983","가야대로330번길 25","-","직거래","-","26.06.17"
"99","부산광역시 금정구 구서동","420-17","0420","0017","구서벽산메가트리움","84.5440","202606","17","25,500","-","7","개인","개인","2004","부곡온천천로 206","-","직거래","-","-"
"100","부산광역시 기장군 정관읍 모전리","759","0759","0000","정관롯데캐슬2차","101.8124","202606","17","35,300","-","16","개인","개인","2013","정관3로 51","-","중개거래","부산 기장군","-"
"101","부산광역시 수영구 민락동","765","0765","0000","부산더샵센텀포레","84.8954","202606","17","90,000","-","3","개인","개인","2014","수영로 776","-","중개거래","부산 수영구","-"
"102","부산광역시 사하구 장림동","185-1","0185","0001","장림3차동원","59.6000","202606","17","11,000","-","15","개인","개인","1999","다대로227번길 37","-","중개거래","부산 사하구","-"
