"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-01-01 ~ 2026-06-22"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 대구광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"66","대구광역시 달서구 상인동","1596","1596","0000","상인화성파크드림2단지","전세","84.9800","202606","17","20,519","0","3","2010","송현로7길 9","202608~202808","갱신","-","20,519","0","아파트"
"67","대구광역시 달서구 상인동","1596","1596","0000","상인화성파크드림2단지","전세","84.9900","202606","17","20,519","0","17","2010","송현로7길 9","202607~202807","신규","-","","","아파트"
"68","대구광역시 달서구 상인동","1596","1596","0000","상인화성파크드림2단지","월세","84.9800","202606","17","16,415","12","7","2010","송현로7길 9","202608~202808","갱신","-","16,415","14","아파트"
"69","대구광역시 달서구 상인동","1596","1596","0000","상인화성파크드림2단지","전세","84.9900","202606","17","20,519","0","11","2010","송현로7길 9","202607~202807","신규","-","","","아파트"
"70","대구광역시 달서구 상인동","1596","1596","0000","상인화성파크드림2단지","월세","84.9900","202606","17","16,415","12","7","2010","송현로7길 9","202607~202807","신규","-","","","아파트"
"71","대구광역시 북구 침산동","1761","1761","0000","침산화성파크드림","전세","59.9977","202606","17","25,200","0","25","2017","성북로 70","202608~202808","신규","-","","","아파트"
"72","대구광역시 북구 관음동","1370","1370","0000","칠곡한양2","월세","59.8200","202606","17","11,000","11","8","1993","구암로 17","202607~202807","신규","-","","","아파트"
"73","대구광역시 북구 태전동","1103","1103","0000","휴먼시아1단지","월세","46.7800","202606","17","5,004","8","18","2008","매전로 73","202606~202806","갱신","-","2,804","19","아파트"
"74","대구광역시 동구 신천동","1503","1503","0000","신천자이","월세","76.5100","202606","17","2,000","100","12","2013","신암로16길 25","202607~202807","신규","-","","","아파트"
"75","대구광역시 남구 이천동","1189","1189","0000","교대역푸르지오트레힐즈","전세","38.5485","202606","17","18,900","0","11","2025","이천로19길 16","202608~202808","신규","-","","","아파트"
"76","대구광역시 동구 괴전동","125","0125","0000","안심역서원프레시빌","월세","49.5733","202606","17","2,000","60","5","2018","안심로 477","202607~202706","신규","-","","","아파트"
"77","대구광역시 수성구 시지동","486","0486","0000","노변청구","월세","84.8600","202606","17","2,000","75","13","1996","시지로 21","202608~202808","신규","-","","","아파트"
"78","대구광역시 수성구 시지동","499","0499","0000","노변다숲","전세","59.7300","202606","17","13,000","0","4","1996","노변공원로 34","202608~202808","신규","-","","","아파트"
"79","대구광역시 중구 동인동1가","420","0420","0000","힐스테이트동인더스카이","전세","84.9389","202606","17","35,000","0","49","2025","태평로 240","202609~202809","신규","-","","","아파트"
"80","대구광역시 달성군 구지면 창리","1354","1354","0000","대구국가산단영무예다음","월세","67.9413","202606","17","2,000","60","20","2020","국가산단서로84길 118","202608~202808","신규","-","","","아파트"
"81","대구광역시 달성군 현풍읍 대리","1176","1176","0000","국가산단서한이다음아파트","월세","84.8800","202606","17","6,121","24","25","2019","국가산단대로70길 41","202607~202807","갱신","-","6,121","24","아파트"
"82","대구광역시 달성군 유가읍 봉리","622","0622","0000","힐데스하임아파트","월세","84.9809","202606","17","2,000","90","9","2015","테크노북로9길 42","202607~202807","신규","-","","","아파트"
"83","대구광역시 달서구 대곡동","1103","1103","0000","대구대곡수목원호정포레스트","월세","49.7600","202606","17","9,054","19","3","2019","갈밭남로 17","202607~202806","갱신","-","3,454","42","아파트"
"84","대구광역시 달성군 다사읍 세천리","1588","1588","0000","북죽곡엠코타운더솔레뉴","전세","84.9927","202606","17","20,000","0","12","2016","세천로 160","202609~202809","신규","-","","","아파트"
"85","대구광역시 달서구 월성동","270","0270","0000","월성주공4단지","전세","41.3000","202606","17","8,000","0","11","1992","구마로14남길 55","202606~202806","신규","-","","","아파트"
"86","대구광역시 달성군 다사읍 매곡리","509","0509","0000","주공2단지","월세","36.1900","202606","16","500","14","13","2006","매곡로14길 11","202607~202806","갱신","-","2,006","9","아파트"
"87","대구광역시 달서구 월성동","1835","1835","0000","월배e-편한세상","전세","59.9694","202606","16","22,000","0","8","2014","월성로 132","202608~202808","갱신","사용","21,000","0","아파트"
"88","대구광역시 달성군 유가읍 봉리","602","0602","0000","대구테크노폴리스4단지","월세","51.9800","202606","16","7,600","16","9","2017","테크노상업로 111","202608~202807","갱신","-","2,200","38","아파트"
"89","대구광역시 달성군 유가읍 봉리","595","0595","0000","대구테크노폴리스화성파크드림","전세","77.4304","202606","16","22,000","0","2","2016","테크노북로 165","202611~202811","신규","-","","","아파트"
"90","대구광역시 달서구 월성동","1894","1894","0000","월성삼정그린코아에듀파크","월세","84.6758","202606","16","3,000","135","28","2022","월성로 100","202608~202807","신규","-","","","아파트"
"91","대구광역시 달성군 구지면 응암리","1210","1210","0000","과학마을청아람","월세","59.8940","202606","16","500","60","2","2016","과학마을로 70","202606~202806","신규","-","","","아파트"
"92","대구광역시 달성군 구지면 응암리","1178","1178","0000","달성화성파크드림","월세","84.8978","202606","16","4,000","35","14","2011","과학마을로2길 6","202607~202807","신규","-","","","아파트"
"93","대구광역시 북구 태전동","1103","1103","0000","휴먼시아1단지","월세","59.8700","202606","16","6,625","13","12","2008","매전로 73","202608~202807","갱신","-","4,025","28","아파트"
"94","대구광역시 북구 태전동","1186","1186","0000","협성휴포레강북","월세","72.9293","202606","16","1,000","120","22","2017","태암남로 60","202606~202608","갱신","-","24,000","0","아파트"
